"gameId","playId","nflId","nflId_Linebacker","displayName","nflId_Blocker","time","dist","Blocker_x","Blocker_y","Linebacker_x","Linebacker_y","possessionTeam","defensiveTeam","playResult","goodRunDefense","week","homeFinalScore","visitorFinalScore","Frames","Time_Spent_Engaged","Two_Yards_Or_Less","Blocker_Name","Blocker_Position","Blocker_Speed","Blocker_Acceleration","Blocker_Orientation","Blocker_Height","Blocker_Weight","Blocker_BirthDate","Blocker_College","Blocker_Direction","Linebacker_Name","Linebacker_Position","Linebacker_Speed","Linebacker_Acceleration","Linebacker_Orientation","Linebacker_Height","Linebacker_Weight","Linebacker_BirthDate","Linebacker_College","Linebacker_Direction","Average_Direction_Degrees","Acceleration_Difference","Height_Difference","Weight_Difference","Week","Speed_Difference","Squareness","tackle","assist","forcedFumble","pff_missedTackle","is_middle_row","Change_Linebacker_Direction","Change_Linebacker_Speed","Change_Linebacker_Acceleration","Change_Linebacker_Orientation","Change_Blocker_Direction","Change_Blocker_Speed","Change_Blocker_Acceleration","Change_Blocker_Orientation"
2022090800,101,53522,38577,"Spencer Brown",53522,"9/8/2022 8:25:11 PM",0.996393496566482,69.85,36.63,68.87,36.45,"BUF","LA",7,0,1,10,31,15,1.5,0,"Spencer Brown","T",4.34,1.14,254.78,81,321,"","Northern Iowa",324.5,"Bobby Wagner","ILB",5.61,3.36,77.64,72,242,"6/27/1990","Utah State",356.12,30.0903564150904,2.22,-9,-79,1,1.27,0.984111111111111,0,0,0,0,FALSE,8.39999999999998,-0.0900000000000007,-1.75,12.28,12.89,0.0700000000000003,0.63,46.78
2022090800,146,53522,38577,"Spencer Brown",53522,"9/8/2022 8:26:33 PM",0.752861208988747,58.66,22.91,58.08,23.39,"BUF","LA",2,1,1,10,31,4,0.4,1,"Spencer Brown","T",3.44,2.91,225.69,81,321,"","Northern Iowa",190.19,"Bobby Wagner","ILB",1.13,1.58,102.03,72,242,"6/27/1990","Utah State",212.01,22.200111338005,-1.33,-9,-79,1,-2.31,0.687,0,1,0,0,FALSE,58.14,0.34,1.1,20.58,12.4,0.2,0.0299999999999998,17.42
2022090800,146,53522,47939,"Spencer Brown",53522,"9/8/2022 8:26:32 PM",0.641404708432982,59.83,25.46,59.28,25.13,"BUF","LA",2,1,1,10,31,13,1.3,1,"Spencer Brown","T",4.6,2.31,198.93,81,321,"","Northern Iowa",214.52,"Justin Hollins","OLB",2.15,4.45,90.92,77,248,"1/15/1996","Oregon",186.38,21.5162722473102,2.14,-4,-73,1,-2.45,0.600055555555556,0,0,0,0,FALSE,16.55,1.81,-3.06,48.12,17.88,-1.11,0.7,20.97
2022090800,191,42392,52492,"Mitch Morse",42392,"9/8/2022 8:27:45 PM",0.810431983574195,44.26,32.98,45.04,33.2,"BUF","LA",1,1,1,10,31,4,0.4,1,"Mitch Morse","C",4.06,2.19,241.13,78,305,"4/21/1992","Missouri",326.44,"Terrell Lewis","OLB",4.76,2.8,50.53,77,252,"8/25/1998","Alabama",355.41,36.3947648125432,0.61,-1,-53,1,0.7,0.941111111111111,1,0,0,0,FALSE,4.89000000000004,-2.43,1.28,137.4,21.18,1.21,0.2,88.38
2022090800,299,42400,44976,"Rob Havenstein",42400,"9/8/2022 8:33:34 PM",0.950368349641339,29.58,27.32,29.44,26.38,"LA","BUF",5,0,1,10,31,16,1.6,0,"Rob Havenstein","T",3.14,1.87,100.56,80,328,"5/13/1992","Wisconsin",40.61,"Matt Milano","OLB",4.61,3.51,331.56,72,223,"7/28/1994","Boston College",26.13,42.7264497270101,1.64,-8,-105,1,1.47,0.716666666666667,0,0,0,0,FALSE,9.94,-2.25,-2.28,4.79000000000002,10.21,-0.84,-1.09,23.86
2022090800,299,42400,46085,"Rob Havenstein",42400,"9/8/2022 8:33:34 PM",0.974166310236602,30.74,28.44,30.23,29.27,"LA","BUF",5,0,1,10,31,9,0.9,0,"Rob Havenstein","T",2.35,1.27,117.16,80,328,"5/13/1992","Wisconsin",48.53,"Tremaine Edmunds","ILB",1.12,2.82,269.99,77,250,"5/2/1998","Virginia Tech",80.18,43.6006884091216,1.55,-3,-78,1,-1.23,0.849055555555556,0,0,0,0,FALSE,248.47,0.83,-1.31,5.26999999999998,25.62,-0.59,0.5,26.24
2022090800,299,46158,37075,"Joseph Noteboom",46158,"9/8/2022 8:33:32 PM",0.94021274188345,25.62,27.82,26.2,28.56,"LA","BUF",5,0,1,10,31,15,1.5,0,"Joseph Noteboom","T",1.46,0.83,52.71,77,321,"6/19/1995","Texas Christian",0.38,"Von Miller","OLB",2.65,1.98,242.15,75,250,"3/26/1989","Texas A&amp;M",292.17,50.4346249170316,1.15,-2,-71,1,1.19,0.947555555555556,0,0,0,0,FALSE,23.63,-0.44,-0.05,64.58,335.83,0.83,1.16,240.91
2022090800,343,46180,44976,"Brian Allen",46180,"9/8/2022 8:34:35 PM",0.980612053770502,28.06,32.75,29.02,32.55,"LA","BUF",2,1,1,10,31,5,0.5,1,"Brian Allen","C",1.66,1.82,92.18,74,302,"10/11/1995","Michigan State",92.11,"Matt Milano","OLB",2.78,2.92,245.27,72,223,"7/28/1994","Boston College",190.45,48.2310784199212,1.1,-2,-79,1,1.12,0.8505,0,0,0,0,FALSE,5.01000000000002,0.19,-0.38,2.78999999999999,17.47,-0.32,-0.37,9.86
2022090800,393,46180,46085,"Brian Allen",46180,"9/8/2022 8:36:01 PM",0.95707888912043,53.11,22.81,54.05,22.63,"LA","BUF",1,1,1,10,31,15,1.5,1,"Brian Allen","C",1.57,1.87,76.78,74,302,"10/11/1995","Michigan State",120.25,"Tremaine Edmunds","ILB",1.23,3.8,281.03,77,250,"5/2/1998","Virginia Tech",358.63,23.1887528832978,1.93,3,-52,1,-0.34,0.865277777777778,0,0,0,0,FALSE,332.64,0.53,-2.59,50.79,86.16,0.22,-0.31,0.900000000000006
2022090800,529,48512,38577,"Ryan Bates",48512,"9/8/2022 8:41:39 PM",0.81320354155648,98.69,31.36,97.91,31.13,"BUF","LA",7,0,1,10,31,9,0.9,0,"Ryan Bates","C",2.94,1.55,327.05,76,300,"2/14/1997","Penn State",299.38,"Bobby Wagner","ILB",4.19,2.09,99.03,72,242,"6/27/1990","Utah State",7.08,18.3044313317613,0.54,-4,-58,1,1.25,0.733222222222222,0,0,0,0,FALSE,0,0,0,0,18.17,0.02,0.66,21.92
2022090800,896,42392,38577,"Mitch Morse",42392,"9/8/2022 8:55:42 PM",0.988433103452125,45.46,20.25,46.43,20.44,"BUF","LA",2,1,1,10,31,10,1,1,"Mitch Morse","C",3.16,2.48,81.71,78,305,"4/21/1992","Missouri",154.35,"Bobby Wagner","ILB",3.47,2.56,233.84,72,242,"6/27/1990","Utah State",195.01,22.4151522569876,0.0800000000000001,-6,-63,1,0.31,0.845166666666667,0,0,0,0,FALSE,45.36,-2.11,1.17,36.78,4.09,-1.94,-1.17,42.86
2022090800,896,53522,53532,"Spencer Brown",53522,"9/8/2022 8:55:43 PM",0.546260011349907,46.05,14.1,46.55,14.32,"BUF","LA",2,1,1,10,31,8,0.8,1,"Spencer Brown","T",3.85,0.35,91.51,81,321,"","Northern Iowa",169.81,"Ernest Jones","ILB",2.72,2.96,303.29,74,230,"","South Carolina",173.74,17.2319467492508,2.61,-7,-91,1,-1.13,0.823444444444444,0,1,1,0,FALSE,5.34999999999999,0.22,-0.13,2.47000000000003,0.719999999999999,-0.2,0.8,1.31999999999999
2022090800,933,42400,46085,"Rob Havenstein",42400,"9/8/2022 8:56:58 PM",0.967470929795823,47.68,22.61,46.84,22.13,"LA","BUF",0,1,1,10,31,4,0.4,1,"Rob Havenstein","T",2.48,1.5,233.79,80,328,"5/13/1992","Wisconsin",191.66,"Tremaine Edmunds","ILB",2.61,0.66,7.95,77,250,"5/2/1998","Virginia Tech",335.69,24.9141861348734,-0.84,-3,-78,1,0.13,0.745333333333333,0,0,0,0,FALSE,3.36000000000001,-0.3,1.68,6.22,1.19,-0.24,-0.11,29.32
2022090800,1187,46158,37075,"Joseph Noteboom",46158,"9/8/2022 9:08:56 PM",0.560802995712403,70.47,29.03,70.9,28.67,"LA","BUF",4,0,1,10,31,5,0.5,0,"Joseph Noteboom","T",3.04,1.39,247.03,77,321,"6/19/1995","Texas Christian",337.5,"Von Miller","OLB",4.6,2.03,71.68,75,250,"3/26/1989","Texas A&amp;M",2.54,22.3027553387009,0.64,-2,-71,1,1.56,0.974166666666667,1,0,0,0,FALSE,329.89,-1.15,-0.76,8.13,25.64,-0.12,0.65,51.05
2022090800,1187,46376,44976,"Coleman Shelton",46376,"9/8/2022 9:08:57 PM",0.996242942258559,67.2,36.63,66.62,37.44,"LA","BUF",4,0,1,10,31,3,0.3,0,"Coleman Shelton","G",3.1,1.79,290.64,77,285,"7/28/1995","Washington",315.6,"Matt Milano","OLB",2.39,3.17,165.4,72,223,"7/28/1994","Boston College",213.84,29.2076526230557,1.38,-5,-62,1,-0.71,0.695777777777778,0,0,0,0,FALSE,14.81,0.67,-1.78,24.37,19.18,-1.23,0.0600000000000001,30.15
2022090800,1187,46376,46085,"Coleman Shelton",46376,"9/8/2022 9:08:57 PM",0.888650662521545,68.52,35.04,67.68,34.75,"LA","BUF",4,0,1,10,31,12,1.2,0,"Coleman Shelton","G",3.22,0.38,324.09,77,285,"7/28/1995","Washington",325.81,"Tremaine Edmunds","ILB",2.62,4.06,84.06,77,250,"5/2/1998","Virginia Tech",10.44,28.2225537889874,3.68,0,-35,1,-0.6,0.6665,0,0,0,0,FALSE,306.25,0.00999999999999979,-0.54,3.55,2.98000000000002,0.26,2.09,9.14999999999998
2022090800,1254,46376,46085,"Coleman Shelton",46376,"9/8/2022 9:11:07 PM",0.902551937563706,52.27,19.81,51.38,19.66,"LA","BUF",8,0,1,10,31,9,0.9,0,"Coleman Shelton","G",2.9,2.43,251.82,77,285,"7/28/1995","Washington",207.63,"Tremaine Edmunds","ILB",3.61,2.47,96.91,77,250,"5/2/1998","Virginia Tech",166.81,19.9945958400607,0.04,0,-35,1,0.71,0.860611111111111,0,0,0,0,FALSE,2.93000000000001,-0.52,1.02,5.81999999999999,1.25999999999999,-0.25,-1.37,1.88
2022090800,1254,47952,44976,"David Edwards",47952,"9/8/2022 9:11:06 PM",0.900499861188217,54.05,18.31,53.15,18.28,"LA","BUF",8,0,1,10,31,9,0.9,0,"David Edwards","G",3.52,1.03,231.2,78,308,"3/20/1997","Wisconsin",190.38,"Matt Milano","OLB",2.91,2.11,91.63,72,223,"7/28/1994","Boston College",141.67,17.6346688963902,1.08,-6,-85,1,-0.61,0.775388888888889,0,0,0,0,FALSE,53.33,-0.23,1.1,8.90000000000001,4.56999999999999,-0.26,0.47,0.179999999999978
2022090800,1385,42400,37075,"Rob Havenstein",42400,"9/8/2022 9:17:48 PM",0.883911760301898,36.11,32.25,35.49,32.88,"LA","BUF",18,0,1,10,31,5,0.5,0,"Rob Havenstein","T",0.78,1.45,268.72,80,328,"5/13/1992","Wisconsin",223.73,"Von Miller","OLB",3.15,2.59,130.15,75,250,"3/26/1989","Texas A&amp;M",128.86,42.1402887511742,1.14,-5,-78,1,2.37,0.769833333333333,0,0,0,0,FALSE,4.81000000000002,0.32,0.12,1.32999999999998,1.32999999999998,0.57,-0.0999999999999999,0.600000000000023
2022090800,1385,46180,44976,"Brian Allen",46180,"9/8/2022 9:17:49 PM",0.949368210969798,32.22,22.5,31.35,22.88,"LA","BUF",18,0,1,10,31,3,0.3,0,"Brian Allen","C",5.48,1.87,245.97,74,302,"10/11/1995","Michigan State",202.23,"Matt Milano","OLB",6.01,2.46,103.2,72,223,"7/28/1994","Boston College",157.17,34.6105014886005,0.59,-2,-79,1,0.529999999999999,0.793166666666667,0,0,0,0,FALSE,0.22999999999999,0.42,-1.44,6.92,1.91,-0.04,0.29,3.94999999999999
2022090800,1385,46180,46085,"Brian Allen",46180,"9/8/2022 9:17:51 PM",0.264007575648881,27.54,13.31,27.3,13.2,"LA","BUF",18,0,1,10,31,25,2.5,0,"Brian Allen","C",3.58,3.11,228.82,74,302,"10/11/1995","Michigan State",247.77,"Tremaine Edmunds","ILB",4.52,3.05,90.16,77,250,"5/2/1998","Virginia Tech",237.26,28.6701990776814,-0.0600000000000001,3,-52,1,0.94,0.770333333333333,0,1,0,0,FALSE,23.12,0.41,-0.67,35.54,29.57,0.91,-0.42,9.49000000000001
2022090800,1406,42400,37075,"Rob Havenstein",42400,"9/8/2022 9:18:22 PM",0.908240056372765,16.43,25.54,16.75,26.39,"LA","BUF",3,0,1,10,31,5,0.5,0,"Rob Havenstein","T",0.86,0.6,266.68,80,328,"5/13/1992","Wisconsin",287.76,"Von Miller","OLB",1.57,0.76,114.82,75,250,"3/26/1989","Texas A&amp;M",210.99,57.5694981119683,0.16,-5,-78,1,0.71,0.843666666666667,0,0,0,0,FALSE,6.44,0.03,-0.02,2.24000000000001,0.909999999999968,0.27,-0.02,4.56999999999999
